company,sector,cpc_code,n_total,quality_avg,quality_norm_avg,n_years,name_clean
ALCATEL,Technology,7,2426,0.33900994,-0.97900003,13,alcatel
"Sandisk Technologies, Inc.",Technology,6,2414,0.73628736,0.991125,8,sandisk
"ALPS ELECTRIC CO., LTD.",Technology,6,2411,0.29224932,-1.2153685,19,alps electric
"Analog Devices, Inc.",Technology,7,2386,0.55150485,0.12721053,19,analog devices
Hitachi High-Technologies Corporation,Technology,6,2381,0.33172256,-1.0131875,16,hitachi high
NEC Electronics Corporation,Technology,7,2380,0.44735265,-0.377,12,nec electronics
"YAHOO HOLDINGS, INC.",Technology,6,2377,0.66998506,0.7326111,18,yahoo
The Board of Trustees of the Leland Stanford Junior University,Technology,6,2358,0.4833525,-0.23889475,19,board of trustees of leland stanford junior university
LSI,Technology,6,2349,0.5345068,0.024818182,11,lsi
Agere Systems Inc.,Technology,7,2332,0.54823107,0.10546666,15,agere
"WESTERN DIGITAL TECHNOLOGIES, INC.",Technology,6,2326,0.6240799,0.4857778,18,western digital
BRIDGESTONE CORPORATION,Industrial,1,2325,0.23859955,-0.81268424,19,bridgestone
"BOARD OF REGENTS, THE UNIVERSITY OF TEXAS SYSTEM",Life Sciences,2,2314,0.4420014,0.15736842,19,board of regents university of texas system
AISIN SEIKI KABUSHIKI KAISHA,Industrial,1,2307,0.28131172,-0.5471053,19,aisin seiki kabushiki kaisha
JAPAN DISPLAY INC.,Technology,6,2288,0.36485517,-0.8571666,6,japan display
BRISTOL-MYERS SQUIBB COMPANY,Life Sciences,2,2274,0.32243872,-0.41826317,19,bristol myers squibb
"Lexmark International, Inc.",Technology,6,2273,0.44473618,-0.43063158,19,lexmark
PIONEER CORPORATION,Technology,6,2272,0.38124865,-0.7631052,19,pioneer
UOP LLC,Life Sciences,2,2267,0.30626175,-0.4686842,19,uop
"SUMITOMO WIRING SYSTEMS, LTD.",Technology,7,2267,0.32684577,-1.036158,19,sumitomo wiring
Wisconsin Alumni Research Foundation,Life Sciences,2,2229,0.37213823,-0.16805263,19,wisconsin alumni research foundation
"STMICROELECTRONICS, INC.",Technology,7,2195,0.5114996,-0.07742105,19,stmicroelectronics
Merck Patent GmbH,Life Sciences,2,2171,0.24617665,-0.76563156,19,merck patent
ZF Friedrichshafen AG,Industrial,5,2157,0.24921754,-0.75289476,19,zf friedrichshafen
Nokia Technologies Oy,Technology,7,2155,0.6452347,0.53400004,4,nokia oy
Whirlpool Corporation,Industrial,5,2137,0.42538497,0.29742107,19,whirlpool
HAMILTON SUNDSTRAND CORPORATION,Industrial,5,2133,0.36568835,-0.0033684217,19,hamilton sundstrand
ROLLS-ROYCE plc,Industrial,5,2083,0.23879957,-0.8158947,19,rolls royce
"LG Philips LCD Co., Ltd.",Technology,6,2054,0.40405563,-0.6301539,13,lg philips lcd
"Genentech, Inc.",Life Sciences,2,2036,0.36491355,-0.23968421,19,genentech
YAMAHA HATSUDOKI KABUSHIKI KAISHA,Industrial,1,2027,0.33724523,-0.16526315,19,yamaha hatsudoki kabushiki kaisha
SEIKO INSTRUMENTS INC.,Technology,6,2017,0.31152788,-1.1135263,19,seiko instruments
L'OREAL,Life Sciences,0,2016,0.34715724,-0.30252632,19,l oreal
"Tyco Electronics Co., Ltd",Technology,7,2003,0.52821285,0.012944443,18,tyco electronics
"Futurewei Technologies, Inc.",Technology,7,1997,0.6186184,0.45186666,15,futurewei
"Sharp Laboratories of America, Inc.",Technology,7,1996,0.581612,0.27963156,19,sharp laboratories of america
"FUNAI ELECTRIC CO., LTD.",Technology,6,1995,0.28641644,-1.2592632,19,funai electric
Avaya Inc.,Technology,7,1980,0.60029924,0.36423528,17,avaya
Pfizer Inc.,Life Sciences,2,1968,0.31332737,-0.4843684,19,pfizer
AIRBUS OPERATIONS LIMITED,Industrial,1,1959,0.30100784,-0.5451,10,airbus operations
SAP SE,Technology,6,1959,0.6835413,0.72139996,5,sap se
"Dai Nippon Printing Co., Ltd.",Technology,6,1952,0.2815229,-1.2831578,19,dai nippon printing
"DELTA ELECTRONICS, INC.",Technology,7,1946,0.33207664,-1.0132105,19,delta electronics
